epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5282,1.41231,1.56912,1.38997,0.72458,0.66737,0.66582,0.39765,1.44772,1.33019,1.60544,0.000659574,0.000659574,0.000659574
2,51.913,1.36174,1.14577,1.3978,0.46857,0.52574,0.43251,0.23285,1.59198,2.28517,1.70267,0.00131311,0.00131311,0.00131311
3,77.0617,1.34822,1.16973,1.41905,0.46898,0.50069,0.4143,0.23538,1.51645,2.62479,1.62134,0.00195345,0.00195345,0.00195345
4,102.32,1.27535,1.08428,1.3817,0.78445,0.78403,0.77884,0.49623,1.30312,1.25498,1.44853,0.0019406,0.0019406,0.0019406
5,128.78,1.27687,1.02512,1.35385,0.80318,0.75913,0.74211,0.41614,1.49149,1.23972,1.58571,0.0019208,0.0019208,0.0019208
6,154.235,1.25185,0.988,1.33803,0.80376,0.74485,0.73137,0.44945,1.35437,1.12428,1.43601,0.001901,0.001901,0.001901
7,179.7,1.23065,0.93426,1.33172,0.79981,0.72855,0.72386,0.42525,1.48967,1.27021,1.6021,0.0018812,0.0018812,0.0018812
8,205.694,1.18273,0.90386,1.30019,0.81453,0.79485,0.7864,0.48858,1.3117,1.02028,1.45641,0.0018614,0.0018614,0.0018614
9,232.412,1.18525,0.91936,1.29354,0.81417,0.82206,0.80922,0.5454,1.18523,0.92196,1.33998,0.0018416,0.0018416,0.0018416
10,259.065,1.13328,0.90434,1.27427,0.86331,0.84983,0.83328,0.53277,1.27338,0.78236,1.38286,0.0018218,0.0018218,0.0018218
11,284.922,1.12289,0.8638,1.27892,0.79971,0.82574,0.8051,0.46182,1.45933,0.88956,1.53401,0.001802,0.001802,0.001802
12,310.076,1.10108,0.80237,1.23633,0.84703,0.83468,0.83446,0.57834,1.12551,0.76682,1.29853,0.0017822,0.0017822,0.0017822
13,335.629,1.07403,0.82724,1.24441,0.81631,0.84559,0.82323,0.56626,1.1288,0.79026,1.3011,0.0017624,0.0017624,0.0017624
14,361.425,1.07321,0.78218,1.22842,0.66954,0.68828,0.62964,0.41409,1.15729,1.14834,1.32859,0.0017426,0.0017426,0.0017426
15,387.106,1.03662,0.79702,1.2025,0.82742,0.85147,0.8286,0.56353,1.16788,0.7672,1.30964,0.0017228,0.0017228,0.0017228
16,413.064,1.05178,0.7624,1.20462,0.83732,0.8553,0.8355,0.59242,1.09681,0.75874,1.272,0.001703,0.001703,0.001703
17,438.631,0.99556,0.73628,1.17977,0.76638,0.59485,0.70421,0.4868,1.11731,1.10546,1.30455,0.0016832,0.0016832,0.0016832
18,464.168,1.02174,0.7413,1.19146,0.8312,0.86173,0.84074,0.58842,1.1187,0.7834,1.26799,0.0016634,0.0016634,0.0016634
19,490.461,1.02908,0.75304,1.20354,0.81108,0.86183,0.81472,0.54716,1.15371,0.7993,1.29325,0.0016436,0.0016436,0.0016436
20,516.449,1.01566,0.71059,1.19031,0.84596,0.89243,0.85705,0.60138,1.0816,0.70148,1.25524,0.0016238,0.0016238,0.0016238
21,542.498,1.01349,0.71391,1.19152,0.85309,0.88603,0.85336,0.60526,1.06385,0.69598,1.23795,0.001604,0.001604,0.001604
22,568.422,0.96846,0.6984,1.17099,0.85999,0.88523,0.85302,0.62366,1.02015,0.6915,1.22371,0.0015842,0.0015842,0.0015842
23,594.428,0.96867,0.66965,1.16047,0.85308,0.8923,0.86213,0.61556,1.0702,0.67336,1.23945,0.0015644,0.0015644,0.0015644
24,620.381,0.9766,0.67526,1.15915,0.85213,0.87647,0.83782,0.61422,1.02663,0.69391,1.21193,0.0015446,0.0015446,0.0015446
25,646.327,0.94797,0.65442,1.14348,0.85194,0.88004,0.85,0.61922,1.01733,0.71392,1.22725,0.0015248,0.0015248,0.0015248
26,671.841,0.98211,0.68897,1.16611,0.87501,0.88382,0.86064,0.61544,1.05011,0.68602,1.24704,0.001505,0.001505,0.001505
27,697.568,0.92078,0.63875,1.14119,0.86284,0.8927,0.85144,0.61471,1.08196,0.6682,1.24732,0.0014852,0.0014852,0.0014852
28,723.404,0.94592,0.66097,1.15569,0.86302,0.88485,0.8546,0.60738,1.05853,0.64919,1.23555,0.0014654,0.0014654,0.0014654
29,749.584,0.93185,0.65922,1.14869,0.85828,0.8995,0.85601,0.63089,0.98314,0.63653,1.18997,0.0014456,0.0014456,0.0014456
30,775.687,0.91435,0.62596,1.13257,0.84619,0.88997,0.85301,0.63108,0.98849,0.67464,1.19428,0.0014258,0.0014258,0.0014258
31,801.223,0.91541,0.63445,1.1381,0.8416,0.90221,0.84953,0.62114,1.01374,0.65309,1.19989,0.001406,0.001406,0.001406
32,826.756,0.89826,0.62953,1.12732,0.8674,0.86985,0.8501,0.62557,0.99456,0.69616,1.20443,0.0013862,0.0013862,0.0013862
33,852.447,0.92478,0.64907,1.13613,0.7741,0.66016,0.73559,0.50731,1.14504,1.01,1.30136,0.0013664,0.0013664,0.0013664
